epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
84,1895.47,1.15842,0.61193,1.02152,0.83062,0.84057,0.88507,0.53144,1.36759,0.70243,1.20486,0.000254791,0.000254791,0.000254791
85,1917.93,1.16878,0.61805,1.01563,0.84434,0.79496,0.87047,0.52281,1.37025,0.73535,1.19791,0.000240644,0.000240644,0.000240644
86,1940.33,1.15088,0.60994,1.02595,0.83303,0.7952,0.86905,0.52556,1.38663,0.73725,1.20986,0.000226497,0.000226497,0.000226497
87,1962.85,1.15284,0.6032,1.01778,0.86006,0.8158,0.87264,0.52747,1.36637,0.7348,1.20573,0.000212349,0.000212349,0.000212349
88,1985.36,1.13059,0.5981,1.01064,0.83867,0.81564,0.87805,0.52782,1.36436,0.73474,1.20715,0.000198202,0.000198202,0.000198202
89,2007.77,1.10391,0.58678,1.01246,0.88251,0.79004,0.87352,0.52728,1.36189,0.71676,1.21418,0.000184055,0.000184055,0.000184055
90,2030.26,1.12972,0.59072,1.01868,0.87465,0.80515,0.87592,0.52888,1.37244,0.72899,1.22155,0.000169908,0.000169908,0.000169908
91,2051.71,1.10856,0.54328,1.00166,0.84548,0.79413,0.8685,0.52197,1.37582,0.72729,1.20795,0.000155761,0.000155761,0.000155761
92,2072.98,1.10602,0.53784,1.00179,0.85228,0.8073,0.87544,0.52496,1.37368,0.73033,1.21076,0.000141614,0.000141614,0.000141614
93,2093.99,1.10116,0.53127,0.99619,0.83207,0.81374,0.87309,0.52472,1.38664,0.72718,1.22007,0.000127467,0.000127467,0.000127467
94,2115.1,1.08804,0.52206,0.99206,0.86034,0.82282,0.88364,0.5338,1.36813,0.71756,1.20696,0.00011332,0.00011332,0.00011332
95,2136.21,1.08634,0.52533,0.98707,0.85514,0.80356,0.87904,0.53151,1.37495,0.70957,1.20562,9.91726e-05,9.91726e-05,9.91726e-05
96,2157.26,1.08675,0.51965,0.99187,0.83072,0.82637,0.8811,0.53229,1.36973,0.70432,1.20765,8.50255e-05,8.50255e-05,8.50255e-05
97,2178.48,1.07757,0.51595,0.98621,0.85106,0.82175,0.88321,0.53517,1.36811,0.7082,1.20225,7.08784e-05,7.08784e-05,7.08784e-05
98,2199.69,1.07905,0.5146,0.98694,0.84849,0.81685,0.88292,0.53566,1.36715,0.70769,1.20143,5.67313e-05,5.67313e-05,5.67313e-05
99,2220.81,1.06014,0.51015,0.98508,0.85892,0.827,0.88972,0.53875,1.35944,0.70812,1.19941,4.25842e-05,4.25842e-05,4.25842e-05
100,2241.89,1.07855,0.51409,0.98535,0.85039,0.82256,0.88402,0.53742,1.35901,0.70643,1.19896,2.84371e-05,2.84371e-05,2.84371e-05
