epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
73,29894.7,1.04232,2.05651,0.26363,0.86845,1.34556,0.86512,0.80982,0.90088,0.65468,0.84654,0.75882,0.82615,0.5946,0.97684,1.62055,0.23321,0.71745,1.30378,0.002872,0.002872,0.002872
74,30303.6,1.04086,2.05678,0.26309,0.86542,1.3436,0.86405,0.81245,0.90125,0.65538,0.8451,0.76071,0.82654,0.59525,0.97654,1.61781,0.23302,0.71647,1.30346,0.002773,0.002773,0.002773
75,30712.1,1.04156,2.05927,0.26223,0.86549,1.34718,0.8685,0.81014,0.90192,0.65614,0.8427,0.76338,0.82715,0.59505,0.97547,1.61292,0.23272,0.71572,1.3023,0.002674,0.002674,0.002674
76,31120.8,1.03762,2.05046,0.26248,0.861,1.34241,0.86858,0.81053,0.90232,0.65681,0.84194,0.7637,0.8275,0.59617,0.97448,1.60914,0.2324,0.71447,1.30116,0.002575,0.002575,0.002575
77,31529.4,1.03421,2.03839,0.26093,0.85844,1.33997,0.86819,0.81313,0.90245,0.65707,0.83924,0.76513,0.82791,0.59733,0.97365,1.60577,0.23217,0.71319,1.30006,0.002476,0.002476,0.002476
78,31938.6,1.03095,2.03,0.26058,0.85281,1.33539,0.86744,0.81485,0.90245,0.65801,0.83999,0.76322,0.82635,0.59805,0.97283,1.60272,0.2319,0.71205,1.29899,0.002377,0.002377,0.002377
79,32347.2,1.02779,2.01389,0.26004,0.84967,1.3342,0.86776,0.81644,0.9024,0.65811,0.83677,0.76685,0.82638,0.59854,0.97144,1.60072,0.23166,0.71126,1.2973,0.002278,0.002278,0.002278
80,32756.4,1.03028,2.01504,0.26011,0.85031,1.33548,0.8664,0.81707,0.90286,0.65867,0.83651,0.76766,0.82694,0.59921,0.97036,1.5975,0.23166,0.71037,1.29613,0.002179,0.002179,0.002179
81,33165.4,1.02546,2.01113,0.259,0.84625,1.3311,0.86784,0.81612,0.90293,0.65833,0.84043,0.76617,0.82696,0.59925,0.96969,1.59578,0.23144,0.70967,1.2951,0.00208,0.00208,0.00208
82,33574.3,1.02124,1.9848,0.25787,0.8418,1.32888,0.86944,0.81691,0.9036,0.65867,0.84198,0.76527,0.82703,0.59976,0.96924,1.59304,0.23101,0.7082,1.29437,0.001981,0.001981,0.001981
83,33983.3,1.02048,1.9787,0.25705,0.8379,1.32768,0.872,0.81581,0.90375,0.65907,0.84277,0.76527,0.8276,0.60009,0.96867,1.59062,0.23094,0.70711,1.29375,0.001882,0.001882,0.001882
84,34392.4,1.01594,1.96509,0.25628,0.83545,1.3265,0.87074,0.8177,0.90389,0.65926,0.84197,0.76653,0.82761,0.60036,0.96797,1.58723,0.23078,0.70614,1.29299,0.001783,0.001783,0.001783
85,34800.9,1.01407,1.95564,0.2552,0.83011,1.32215,0.87263,0.81644,0.90429,0.66046,0.8436,0.76508,0.82738,0.60088,0.96705,1.5855,0.23065,0.70475,1.29197,0.001684,0.001684,0.001684
86,35209.5,1.01182,1.95512,0.25471,0.82833,1.32319,0.87533,0.81461,0.90496,0.66135,0.84306,0.76706,0.82722,0.60126,0.96663,1.58156,0.23041,0.70289,1.29124,0.001585,0.001585,0.001585
87,35618.2,1.01017,1.9518,0.25473,0.82831,1.32172,0.87515,0.81549,0.90452,0.66158,0.84419,0.76747,0.82759,0.60195,0.96582,1.57899,0.23028,0.70175,1.29038,0.001486,0.001486,0.001486
88,36026.4,1.00909,1.93753,0.25437,0.82598,1.31771,0.87681,0.81464,0.90511,0.66151,0.84713,0.76949,0.82843,0.60299,0.96512,1.57557,0.23,0.70053,1.28969,0.001387,0.001387,0.001387
89,36434.8,1.00678,1.92764,0.25434,0.82214,1.31704,0.87457,0.81565,0.90507,0.6619,0.8458,0.77094,0.83031,0.60311,0.96388,1.57216,0.22984,0.69995,1.28838,0.001288,0.001288,0.001288
